"Word"|"synonyms"|"antonyms"|"related_to"|"origin"
"wabblier"|"rocky,groggy,precarious,unstable,wobbly,rickety,erratic,capricious,changeable,dizzy,fickle,giddy,inconstant,unreliable,unsettled,unsound,vacillating,variable,wavering,wayward,quivery,fluctuating,shifting,teetering,tippy,wabbly,wiggly"|"dependable,stable,steady,certain,definite,strong,sure"|"unsteady"|"Wobbly 1914, member of Industrial Workers of the World (I.W.W.). Probably some sort of elaboration of the W aspect of the acronym."
"wabbliest"|"rocky,groggy,precarious,unstable,wobbly,rickety,erratic,capricious,changeable,dizzy,fickle,giddy,inconstant,unreliable,unsettled,unsound,vacillating,variable,wavering,wayward,quivery,fluctuating,shifting,teetering,tippy,wabbly,wiggly"|"dependable,stable,steady,certain,definite,strong,sure"|"unsteady"|"Wobbly 1914, member of Industrial Workers of the World (I.W.W.). Probably some sort of elaboration of the W aspect of the acronym."
"wabbling"|"staggering,quivering,swaying,teetering,trembling,wiggling,quaking"|""|"wobbling"|"wobble 1657, probably from Low Ger. wabbeln ""to wobble;"" cognate with O.N. vafla ""hover about, totter,"" related to vafra ""move unsteadily,"" from P.Gmc. *wab- ""to move back and forth"" (see waver). The noun is attested from 1699."
"wabbly"|"rocky,groggy,precarious,unstable,wobbly,rickety,erratic,capricious,changeable,dizzy,fickle,giddy,inconstant,unreliable,unsettled,unsound,vacillating,variable,wavering,wayward,quivery,fluctuating,shifting,teetering,tippy,wiggly"|"dependable,stable,steady,certain,definite,strong,sure"|"unsteady"|"Wobbly 1914, member of Industrial Workers of the World (I.W.W.). Probably some sort of elaboration of the W aspect of the acronym."
"wack"|"figure,personality,case,customer,oddball,freak,oddity,eccentric,nut,queer,personage,clown,weirdo,spook,crank,original,card,duck,zombie"|"regularity,normality,standard"|"character,persona"|""
"wacke"|"mud,brick,earth,pottery,slip,till,adobe,terra cotta,bole,clunch,marl,loam,loess,kaolin,argil,argillaceous earth,china material,porcelain material"|""|"clay"|"wacke rock resembling sandstone, 1803, from Ger. Wacke, from M.H.G. wacke ""a large stone,"" from O.H.G. wacko ""gravel,"" probably from O.H.G. wegan ""to move."" A miner's word, brought into geology by Ger. geologist Abraham Gottlob Werner (1750-1817)."
"wackes"|"mud,brick,earth,pottery,slip,till,adobe,terra cotta,bole,clunch,marl,loam,loess,kaolin,argil,argillaceous earth,china material,porcelain material,wacke"|""|"clay"|"wacke rock resembling sandstone, 1803, from Ger. Wacke, from M.H.G. wacke ""a large stone,"" from O.H.G. wacko ""gravel,"" probably from O.H.G. wegan ""to move."" A miner's word, brought into geology by Ger. geologist Abraham Gottlob Werner (1750-1817)."
"wackiness"|"madness,silliness,absurdity,nonsense,insanity,idiocy,lunacy,senselessness,imbecility,tomfoolery,nuttiness,foolery,flakiness,brainlessness,zaniness"|"sense"|"craziness"|"wacky ""crazy, eccentric,"" 1935, variant of whacky (n.) ""fool,"" late 1800s British slang, probably ultimately from whack ""a blow, stroke,"" from the notion of being whacked on the head one too many times. Wack ""crazy person"" is a 1938 back-formation; extended form wacko is recorded from 1977. Wack in slang sense of ""worthless, stupid,"" is attested from late 1990s."
"wackinesses"|"madness,silliness,absurdity,nonsense,insanity,idiocy,lunacy,senselessness,imbecility,tomfoolery,nuttiness,foolery,flakiness,brainlessness,wackiness,zaniness"|"sense"|"craziness"|"wacky ""crazy, eccentric,"" 1935, variant of whacky (n.) ""fool,"" late 1800s British slang, probably ultimately from whack ""a blow, stroke,"" from the notion of being whacked on the head one too many times. Wack ""crazy person"" is a 1938 back-formation; extended form wacko is recorded from 1977. Wack in slang sense of ""worthless, stupid,"" is attested from late 1990s."
"wacko"|"screwball,crackpot,lunatic,nut,crazy,flake,dingbat,crank,weirdo,fruitcake,lamebrain"|""|"kook,crackpot,ding-a-ling,dingbat"|""
"wackos"|"screwball,crackpot,lunatic,nut,crazy,flake,dingbat,crank,weirdo,fruitcake,wacko,lamebrain"|""|"kook,crackpot,ding-a-ling,dingbat"|""
"wacks"|"figure,personality,case,customer,oddball,freak,oddity,eccentric,nut,queer,personage,clown,weirdo,spook,crank,original,card,duck,zombie,wack"|"regularity,normality,standard"|"character,persona"|""
"wacky"|"crazy,unpredictable,eccentric,loony,nutty,silly,absurd,zany,foolish,odd,balmy,crazed,daft,demented,deranged,erratic,insane,irrational,lunatic,mad,nuts,preposterous,screwy,wild,hare-brained"|"sane,sensible,wise,collected,reasonable,serious,calm"|"absurd,balmy,comic,crazy,daft,enthusiastic"|"wacky ""crazy, eccentric,"" 1935, variant of whacky (n.) ""fool,"" late 1800s British slang, probably ultimately from whack ""a blow, stroke,"" from the notion of being whacked on the head one too many times. Wack ""crazy person"" is a 1938 back-formation; extended form wacko is recorded from 1977. Wack in slang sense of ""worthless, stupid,"" is attested from late 1990s."
"wad"|"lump,chunk,clump,packet,bundle,gathering,heap,pot,back,pile,mint,slew,bunch,tuft,lining,boodle,pad,mass,roll,ream,cushion,plug,fortune,nugget,stuff,hunk,block,wadding"|"poverty,opening"|"bundle,chunk,clump,countless,crumple,currency"|"wad 1540, ""soft material for padding or stuffing,"" of uncertain origin, and the different meanings may represent more than one source. Among the possible connections are M.L. wadda, Du. watten, and M.E. wadmal (1392) ""woolen cloth,"" which seems to be from O.N. vaðmal ""a woolen fabric of Scandinavia,"" probably from vað ""cloth"" + mal ""measure."" The meaning ""bundle of currency"" is Amer.Eng., 1778. The verb is first recorded 1579. To shoot (one's) wad ""do all one can do"" is recorded from 1914. The immediate source of the expression probably is the noun sense of ""disk of cloth used to hold powder  ...and shot in place in a gun."" Wad in slang sense of ""a load of semen"" is attested from 1920s, and the expression now often is felt in this sense. As a suffix, -wad in 1980s joined -bag, -ball, -head in combinations meaning ""disgusting or unpleasant person."""
"wadded"|"stuffed,coated,faced,encrusted,sheathed,brushed,ceiled,wainscoted"|"flatten,straighten,rise,smooth"|"lined,crumple,jam,line,stuff"|"wad 1540, ""soft material for padding or stuffing,"" of uncertain origin, and the different meanings may represent more than one source. Among the possible connections are M.L. wadda, Du. watten, and M.E. wadmal (1392) ""woolen cloth,"" which seems to be from O.N. vaðmal ""a woolen fabric of Scandinavia,"" probably from vað ""cloth"" + mal ""measure."" The meaning ""bundle of currency"" is Amer.Eng., 1778. The verb is first recorded 1579. To shoot (one's) wad ""do all one can do"" is recorded from 1914. The immediate source of the expression probably is the noun sense of ""disk of cloth used to hold powder  ...and shot in place in a gun."" Wad in slang sense of ""a load of semen"" is attested from 1920s, and the expression now often is felt in this sense. As a suffix, -wad in 1980s joined -bag, -ball, -head in combinations meaning ""disgusting or unpleasant person."""
"wadder"|"uncounted,myriad,untold,endless,heap,immeasurable,incalculable,infinite,legion,limitless,many,mess,mint,multitudinous,numberless,oodles,peck,pile,raft,scads,stack,umpteen,wad,jillion,measureless,slew,uncountable,bags of,gobs,innumerous,loads,lots of,mucho,passel of,tidy sum,whole slew,zillion"|"few,calculable,measurable,numbered,limited,countable,counted,numerable"|"countless"|"wad 1540, ""soft material for padding or stuffing,"" of uncertain origin, and the different meanings may represent more than one source. Among the possible connections are M.L. wadda, Du. watten, and M.E. wadmal (1392) ""woolen cloth,"" which seems to be from O.N. vaðmal ""a woolen fabric of Scandinavia,"" probably from vað ""cloth"" + mal ""measure."" The meaning ""bundle of currency"" is Amer.Eng., 1778. The verb is first recorded 1579. To shoot (one's) wad ""do all one can do"" is recorded from 1914. The immediate source of the expression probably is the noun sense of ""disk of cloth used to hold powder  ...and shot in place in a gun."" Wad in slang sense of ""a load of semen"" is attested from 1920s, and the expression now often is felt in this sense. As a suffix, -wad in 1980s joined -bag, -ball, -head in combinations meaning ""disgusting or unpleasant person."""
"waddest"|"uncounted,myriad,untold,endless,heap,immeasurable,incalculable,infinite,legion,limitless,many,mess,mint,multitudinous,numberless,oodles,peck,pile,raft,scads,stack,umpteen,wad,jillion,measureless,slew,uncountable,bags of,gobs,innumerous,loads,lots of,mucho,passel of,tidy sum,whole slew,zillion"|"few,calculable,measurable,numbered,limited,countable,counted,numerable"|"countless"|""
"wadding"|"cartridge,center,content,contents,cylinder,dressing,fill,guts,inlay,innards,inside,layer,mixture,pack,packing,pad,padding,stuffing,wad,bushing,capacity batting,impletion,liner,refill,replenishment,shim"|"emptiness"|"filling,pad,wad,filling,lining,packing"|"wad 1540, ""soft material for padding or stuffing,"" of uncertain origin, and the different meanings may represent more than one source. Among the possible connections are M.L. wadda, Du. watten, and M.E. wadmal (1392) ""woolen cloth,"" which seems to be from O.N. vaðmal ""a woolen fabric of Scandinavia,"" probably from vað ""cloth"" + mal ""measure."" The meaning ""bundle of currency"" is Amer.Eng., 1778. The verb is first recorded 1579. To shoot (one's) wad ""do all one can do"" is recorded from 1914. The immediate source of the expression probably is the noun sense of ""disk of cloth used to hold powder  ...and shot in place in a gun."" Wad in slang sense of ""a load of semen"" is attested from 1920s, and the expression now often is felt in this sense. As a suffix, -wad in 1980s joined -bag, -ball, -head in combinations meaning ""disgusting or unpleasant person."""
"waddings"|"cartridge,center,content,contents,cylinder,dressing,fill,guts,inlay,innards,inside,layer,mixture,pack,packing,pad,padding,stuffing,wad,bushing,capacity batting,impletion,liner,refill,replenishment,shim,wadding"|"emptiness"|"filling,pad,wad,filling,lining,packing"|""
"waddle"|"totter,wobble,toddle,wiggle,sway,shuffle,rock"|""|"limp,lumber,oscillate,roll,toddle"|"waddle ""to walk with short steps,"" 1592, frequentative of wade. The noun is recorded from 1691."
"wade"|"bathe,trek,splash,stumble,paddle,attempt,toil,launch,initiate,attack,drudge,tackle,labor,walk,start,fall to,go for,pitch in,ford,get feet wet,get stuck in,jump in,light into,set about,set to,tear into,work through"|"laze,ignore,avoid,dodge,be lazy,idle,neglect,end,finish,stop,conclude"|"paddle,splash,swim,trudge,wallow,slosh"|"wade O.E. wadan ""to go forward, proceed,"" in poetic use only, except as oferwaden ""wade across,"" from P.Gmc. *wadan (cf. O.N. vaða, Dan. vade, O.Fris. wada, Du. waden, O.H.G. watan, Ger. waten ""to wade""), from PIE base *wadh- ""to go,"" found only in Gmc. and L. (cf. L. vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). The notion is of ""to advance into water."" It. guado, Fr. gué ""ford"" are Gmc. loan-words. Originally a strong verb (p.t. wod, pp. wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c."
"wade in"|"come through,aid,attack,begin,buckle down,chip in,commence,contribute,cooperate,do,fall to,help,launch,participate,subscribe,tackle,volunteer,get going,contribute work,get cracking,go to it,help; get busy,hop to it,join in,jump in,lend a hand,plunge into,set about,set to,tee off,do one's bit"|"hinder,prevent,hurt"|"pitch in"|"wade O.E. wadan ""to go forward, proceed,"" in poetic use only, except as oferwaden ""wade across,"" from P.Gmc. *wadan (cf. O.N. vaða, Dan. vade, O.Fris. wada, Du. waden, O.H.G. watan, Ger. waten ""to wade""), from PIE base *wadh- ""to go,"" found only in Gmc. and L. (cf. L. vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). The notion is of ""to advance into water."" It. guado, Fr. gué ""ford"" are Gmc. loan-words. Originally a strong verb (p.t. wod, pp. wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c."
"wade in to"|"begin,buckle down,commence,pitch in,start,undertake,apply oneself to,be up to,jump in,wade into"|"ignore,laze,forget,neglect,be idle"|"fall to"|"wade O.E. wadan ""to go forward, proceed,"" in poetic use only, except as oferwaden ""wade across,"" from P.Gmc. *wadan (cf. O.N. vaða, Dan. vade, O.Fris. wada, Du. waden, O.H.G. watan, Ger. waten ""to wade""), from PIE base *wadh- ""to go,"" found only in Gmc. and L. (cf. L. vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). The notion is of ""to advance into water."" It. guado, Fr. gué ""ford"" are Gmc. loan-words. Originally a strong verb (p.t. wod, pp. wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c."
"wade into"|"begin,buckle down,commence,pitch in,start,undertake,apply oneself to,be up to,jump in"|"ignore,laze,forget,neglect,be idle"|"fall to"|"wade O.E. wadan ""to go forward, proceed,"" in poetic use only, except as oferwaden ""wade across,"" from P.Gmc. *wadan (cf. O.N. vaða, Dan. vade, O.Fris. wada, Du. waden, O.H.G. watan, Ger. waten ""to wade""), from PIE base *wadh- ""to go,"" found only in Gmc. and L. (cf. L. vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). The notion is of ""to advance into water."" It. guado, Fr. gué ""ford"" are Gmc. loan-words. Originally a strong verb (p.t. wod, pp. wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c."
"wade through"|"enroll,get,read,study,pick up,receive,master,gain,determine,grasp,review,matriculate,memorize,prepare,imbibe,peruse,grind,lucubrate,attain,cram,con,apprentice,brush up on,take in,be taught,be trained,become able,become versed,burn midnight oil,commit to memory,crack the books,drink in,get down pat,get the hang of,get the knack of,improve mind,major in,minor in,pore over,soak up,specialize in,take course,train in"|"ignore,misunderstand,release,teach,pass,neglect,lose,miss,spend,overlook"|"learn,keep one's nose to the grindstone"|"wade O.E. wadan ""to go forward, proceed,"" in poetic use only, except as oferwaden ""wade across,"" from P.Gmc. *wadan (cf. O.N. vaða, Dan. vade, O.Fris. wada, Du. waden, O.H.G. watan, Ger. waten ""to wade""), from PIE base *wadh- ""to go,"" found only in Gmc. and L. (cf. L. vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). The notion is of ""to advance into water."" It. guado, Fr. gué ""ford"" are Gmc. loan-words. Originally a strong verb (p.t. wod, pp. wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c."
"waded in"|"come through,aid,attack,begin,buckle down,chip in,commence,contribute,cooperate,do,fall to,help,launch,participate,subscribe,tackle,volunteer,get going,contribute work,get cracking,go to it,help; get busy,hop to it,join in,jump in,lend a hand,plunge into,set about,set to,tee off,wade in,do one's bit"|"hinder,prevent,hurt"|"pitch in"|"wade O.E. wadan ""to go forward, proceed,"" in poetic use only, except as oferwaden ""wade across,"" from P.Gmc. *wadan (cf. O.N. vaða, Dan. vade, O.Fris. wada, Du. waden, O.H.G. watan, Ger. waten ""to wade""), from PIE base *wadh- ""to go,"" found only in Gmc. and L. (cf. L. vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). The notion is of ""to advance into water."" It. guado, Fr. gué ""ford"" are Gmc. loan-words. Originally a strong verb (p.t. wod, pp. wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c."
"waded in to"|"begin,buckle down,commence,pitch in,start,undertake,apply oneself to,be up to,jump in,wade into"|"ignore,laze,forget,neglect,be idle"|"fall to"|"wade O.E. wadan ""to go forward, proceed,"" in poetic use only, except as oferwaden ""wade across,"" from P.Gmc. *wadan (cf. O.N. vaða, Dan. vade, O.Fris. wada, Du. waden, O.H.G. watan, Ger. waten ""to wade""), from PIE base *wadh- ""to go,"" found only in Gmc. and L. (cf. L. vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). The notion is of ""to advance into water."" It. guado, Fr. gué ""ford"" are Gmc. loan-words. Originally a strong verb (p.t. wod, pp. wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c."
"waded into"|"begin,buckle down,commence,pitch in,start,undertake,apply oneself to,be up to,jump in,wade into"|"ignore,laze,forget,neglect,be idle"|"fall to"|"wade O.E. wadan ""to go forward, proceed,"" in poetic use only, except as oferwaden ""wade across,"" from P.Gmc. *wadan (cf. O.N. vaða, Dan. vade, O.Fris. wada, Du. waden, O.H.G. watan, Ger. waten ""to wade""), from PIE base *wadh- ""to go,"" found only in Gmc. and L. (cf. L. vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). The notion is of ""to advance into water."" It. guado, Fr. gué ""ford"" are Gmc. loan-words. Originally a strong verb (p.t. wod, pp. wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c."
"waded through"|"enroll,get,read,study,pick up,receive,master,gain,determine,grasp,review,matriculate,memorize,prepare,imbibe,peruse,grind,lucubrate,attain,cram,con,apprentice,brush up on,take in,be taught,be trained,become able,become versed,burn midnight oil,commit to memory,crack the books,drink in,get down pat,get the hang of,get the knack of,improve mind,major in,minor in,pore over,soak up,specialize in,take course,train in,wade through"|"ignore,misunderstand,release,teach,pass,neglect,lose,miss,spend,overlook"|"learn,keep one's nose to the grindstone"|""
"waders"|"footwear,oxford,brogan,galoshes,waters,mukluk,snow shoes"|""|"boot"|"waders ""waterproof high boots,"" 1841, from wade."
"wades in"|"come through,aid,attack,begin,buckle down,chip in,commence,contribute,cooperate,do,fall to,help,launch,participate,subscribe,tackle,volunteer,get going,contribute work,get cracking,go to it,help; get busy,hop to it,join in,jump in,lend a hand,plunge into,set about,set to,tee off,wade in,do one's bit"|"hinder,prevent,hurt"|"pitch in"|"wade O.E. wadan ""to go forward, proceed,"" in poetic use only, except as oferwaden ""wade across,"" from P.Gmc. *wadan (cf. O.N. vaða, Dan. vade, O.Fris. wada, Du. waden, O.H.G. watan, Ger. waten ""to wade""), from PIE base *wadh- ""to go,"" found only in Gmc. and L. (cf. L. vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). The notion is of ""to advance into water."" It. guado, Fr. gué ""ford"" are Gmc. loan-words. Originally a strong verb (p.t. wod, pp. wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c."
"wades in to"|"begin,buckle down,commence,pitch in,start,undertake,apply oneself to,be up to,jump in,wade into"|"ignore,laze,forget,neglect,be idle"|"fall to"|"wade O.E. wadan ""to go forward, proceed,"" in poetic use only, except as oferwaden ""wade across,"" from P.Gmc. *wadan (cf. O.N. vaða, Dan. vade, O.Fris. wada, Du. waden, O.H.G. watan, Ger. waten ""to wade""), from PIE base *wadh- ""to go,"" found only in Gmc. and L. (cf. L. vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). The notion is of ""to advance into water."" It. guado, Fr. gué ""ford"" are Gmc. loan-words. Originally a strong verb (p.t. wod, pp. wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c."
"wades into"|"begin,buckle down,commence,pitch in,start,undertake,apply oneself to,be up to,jump in,wade into"|"ignore,laze,forget,neglect,be idle"|"fall to"|"wade O.E. wadan ""to go forward, proceed,"" in poetic use only, except as oferwaden ""wade across,"" from P.Gmc. *wadan (cf. O.N. vaða, Dan. vade, O.Fris. wada, Du. waden, O.H.G. watan, Ger. waten ""to wade""), from PIE base *wadh- ""to go,"" found only in Gmc. and L. (cf. L. vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). The notion is of ""to advance into water."" It. guado, Fr. gué ""ford"" are Gmc. loan-words. Originally a strong verb (p.t. wod, pp. wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c."
"wades through"|"enroll,get,read,study,pick up,receive,master,gain,determine,grasp,review,matriculate,memorize,prepare,imbibe,peruse,grind,lucubrate,attain,cram,con,apprentice,brush up on,take in,be taught,be trained,become able,become versed,burn midnight oil,commit to memory,crack the books,drink in,get down pat,get the hang of,get the knack of,improve mind,major in,minor in,pore over,soak up,specialize in,take course,train in,wade through"|"ignore,misunderstand,release,teach,pass,neglect,lose,miss,spend,overlook"|"learn,keep one's nose to the grindstone"|""
"wadi"|"gully,creek,stream,sluice,canal,estuary,aqueduct,brook,channel,flume,conduit,gutter,culvert,inlet,chute,drain,gullet,trench,ravine,river,spillway"|""|"watercourse"|"wadi ""watercourse,"" 1839, from Arabic wadi ""seasonal watercourse,"" prop. part. of wada ""it flowed."""
"wade"|"bathe,trek,splash,stumble,paddle,attempt,toil,launch,initiate,attack,drudge,tackle,labor,walk,start,fall to,go for,pitch in,ford,get feet wet,get stuck in,jump in,light into,set about,set to,tear into,work through"|"laze,ignore,avoid,dodge,be lazy,idle,neglect,end,finish,stop,conclude"|"paddle,splash,swim,trudge,wallow,slosh"|"wade O.E. wadan ""to go forward, proceed,"" in poetic use only, except as oferwaden ""wade across,"" from P.Gmc. *wadan (cf. O.N. vaða, Dan. vade, O.Fris. wada, Du. waden, O.H.G. watan, Ger. waten ""to wade""), from PIE base *wadh- ""to go,"" found only in Gmc. and L. (cf. L. vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). The notion is of ""to advance into water."" It. guado, Fr. gué ""ford"" are Gmc. loan-words. Originally a strong verb (p.t. wod, pp. wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c."
"wading in"|"come through,aid,attack,begin,buckle down,chip in,commence,contribute,cooperate,do,fall to,help,launch,participate,subscribe,tackle,volunteer,get going,contribute work,get cracking,go to it,help; get busy,hop to it,join in,jump in,lend a hand,plunge into,set about,set to,tee off,wade in,do one's bit"|"hinder,prevent,hurt"|"pitch in"|"wade O.E. wadan ""to go forward, proceed,"" in poetic use only, except as oferwaden ""wade across,"" from P.Gmc. *wadan (cf. O.N. vaða, Dan. vade, O.Fris. wada, Du. waden, O.H.G. watan, Ger. waten ""to wade""), from PIE base *wadh- ""to go,"" found only in Gmc. and L. (cf. L. vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). The notion is of ""to advance into water."" It. guado, Fr. gué ""ford"" are Gmc. loan-words. Originally a strong verb (p.t. wod, pp. wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c."
"wading in to"|"begin,buckle down,commence,pitch in,start,undertake,apply oneself to,be up to,jump in,wade into"|"ignore,laze,forget,neglect,be idle"|"fall to"|"wade O.E. wadan ""to go forward, proceed,"" in poetic use only, except as oferwaden ""wade across,"" from P.Gmc. *wadan (cf. O.N. vaða, Dan. vade, O.Fris. wada, Du. waden, O.H.G. watan, Ger. waten ""to wade""), from PIE base *wadh- ""to go,"" found only in Gmc. and L. (cf. L. vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). The notion is of ""to advance into water."" It. guado, Fr. gué ""ford"" are Gmc. loan-words. Originally a strong verb (p.t. wod, pp. wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c."
"wading into"|"begin,buckle down,commence,pitch in,start,undertake,apply oneself to,be up to,jump in,wade into"|"ignore,laze,forget,neglect,be idle"|"fall to"|"wade O.E. wadan ""to go forward, proceed,"" in poetic use only, except as oferwaden ""wade across,"" from P.Gmc. *wadan (cf. O.N. vaða, Dan. vade, O.Fris. wada, Du. waden, O.H.G. watan, Ger. waten ""to wade""), from PIE base *wadh- ""to go,"" found only in Gmc. and L. (cf. L. vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). The notion is of ""to advance into water."" It. guado, Fr. gué ""ford"" are Gmc. loan-words. Originally a strong verb (p.t. wod, pp. wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c."
"wading pool"|"swimming pool,kiddie pool"|""|"swimming pool"|""
"wading through"|"enroll,get,read,study,pick up,receive,master,gain,determine,grasp,review,matriculate,memorize,prepare,imbibe,peruse,grind,lucubrate,attain,cram,con,apprentice,brush up on,take in,be taught,be trained,become able,become versed,burn midnight oil,commit to memory,crack the books,drink in,get down pat,get the hang of,get the knack of,improve mind,major in,minor in,pore over,soak up,specialize in,take course,train in,wade through"|"ignore,misunderstand,release,teach,pass,neglect,lose,miss,spend,overlook"|"learn,keep one's nose to the grindstone"|""
"wading-pool"|"swimming pool,kiddie pool"|""|"wading pool"|""
"wadis"|"gully,creek,stream,sluice,canal,estuary,aqueduct,brook,channel,flume,conduit,gutter,culvert,inlet,chute,drain,gullet,trench,ravine,river,spillway,wadi"|""|"watercourse"|"wadi ""watercourse,"" 1839, from Arabic wadi ""seasonal watercourse,"" prop. part. of wada ""it flowed."""
"wafer"|"cake,cookie,cracker,candy,biscuit"|""|"chip,flake,cookie"|"wafer 1368, from Anglo-Fr. wafre, O.N.Fr. waufre ""honeycomb, wafer,"" perhaps from Frankish (cf. Flem. wafer, altered from M.Du. wafel ""honeycomb;"" see waffle (n.)). Also found in O.Fr. as gaufre, gofre ""wafer, waffle."" Eucharistic bread first so called 1559."
"wafer chip"|"board,chip,motherboard,microchip,PCB,gallium arsenide chip,hybrid chip,microcircuit,neural network chip,printed circuit board,semiconductor chip,superchip,transputer"|""|"silicon chip"|""
"wafer chips"|"board,chip,motherboard,microchip,PCB,gallium arsenide chip,hybrid chip,microcircuit,neural network chip,printed circuit board,semiconductor chip,superchip,transputer,wafer chip"|""|"silicon chip"|""
"wafer thin"|"insubstantial,cardboard,disposable,paper-thin,papery,wafer-thin"|"thick"|"paper,thin"|""
"wafer-thin"|"insubstantial,cardboard,disposable,paper-thin,papery"|"thick"|"paper,thin"|""
"waferthin"|"insubstantial,cardboard,disposable,paper-thin,papery,wafer-thin"|"thick"|"paper,thin"|""
"waffle"|"vacillate,flip-flop,equivocate,change,yo-yo,change one's mind"|""|"drivel,equivocate,equivocation,evade,hedge,hesitate"|"waffle 1744, from Du. wafel ""waffle,"" from M.Du. or M.L.G. wafel; cognate with O.H.G. waba ""honeycomb"" (Ger. Wabe) and related to O.H.G. weban, O.E. wefan ""to weave"" (see weave). Sense of ""honeycomb"" is preserved in some combinations referring to a weave of cloth. Waffle iron is from 1794."
